slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
15,150,160,north,video_1.mp4,10,4,0,2,0,6,max_over_samples,6.256,15.256,23
15,150,160,east,video_2.mp4,10,12,2,2,0,16,max_over_samples,0.846,30.677,42
15,150,160,south,video_3.mp4,10,2,1,2,0,5,max_over_samples,150.0,159.0,24
15,150,160,west,video_4.mp4,10,9,1,1,1,12,max_over_samples,0.665,15.198,31
16,160,170,north,video_1.mp4,10,6,0,0,0,6,max_over_samples,0.299,23.256,21
16,160,170,east,video_2.mp4,10,18,1,2,0,21,max_over_samples,5.846,14.846,54
16,160,170,south,video_3.mp4,10,3,0,0,0,3,max_over_samples,160.0,169.0,15
16,160,170,west,video_4.mp4,10,9,1,0,0,10,max_over_samples,4.665,13.665,30
17,170,180,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,2.299,11.299,19
17,170,180,east,video_2.mp4,10,15,1,2,0,18,max_over_samples,15.846,24.846,43
17,170,180,south,video_3.mp4,10,3,0,1,0,4,max_over_samples,170.0,179.0,18
17,170,180,west,video_4.mp4,10,10,1,3,1,15,max_over_samples,0.131,14.665,40
18,180,190,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,12.299,21.299,24
18,180,190,east,video_2.mp4,10,17,1,1,0,19,max_over_samples,0.015,29.846,42
18,180,190,south,video_3.mp4,10,5,1,1,0,7,max_over_samples,180.0,189.0,24
18,180,190,west,video_4.mp4,10,9,1,1,0,11,max_over_samples,0.597,15.131,30
19,190,200,north,video_1.mp4,10,6,0,1,0,7,max_over_samples,0.342,23.299,22
19,190,200,east,video_2.mp4,10,16,1,2,0,19,max_over_samples,5.015,14.015,43
19,190,200,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,190.0,199.0,21
19,190,200,west,video_4.mp4,10,9,1,2,0,12,max_over_samples,3.597,12.597,34
20,200,210,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,8.342,17.342,20
20,200,210,east,video_2.mp4,10,14,2,1,0,17,max_over_samples,15.015,24.015,40
20,200,210,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,200.0,209.0,22
20,200,210,west,video_4.mp4,10,10,1,3,1,15,max_over_samples,0.064,14.597,38
21,210,220,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,0.385,23.342,25
21,210,220,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,0.184,30.015,44
21,210,220,south,video_3.mp4,10,3,0,1,0,4,max_over_samples,210.0,219.0,19
21,210,220,west,video_4.mp4,10,9,1,1,0,11,max_over_samples,0.53,15.064,32
22,220,230,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,4.385,13.385,19
22,220,230,east,video_2.mp4,10,17,1,2,0,20,max_over_samples,4.184,13.184,45
22,220,230,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,220.0,229.0,23
22,220,230,west,video_4.mp4,10,9,1,2,0,12,max_over_samples,2.53,11.53,33
23,230,240,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,14.385,23.385,24
23,230,240,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,14.184,23.184,41
23,230,240,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,230.0,239.0,21
23,230,240,west,video_4.mp4,9,9,1,2,1,13,max_over_samples,0.997,14.53,34
