slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,3,0,1,0,4,max_over_samples,0.0,9.0,18
0,0,10,east,video_2.mp4,10,18,1,1,0,20,max_over_samples,0.0,9.0,43
0,0,10,south,video_3.mp4,10,3,1,0,0,4,max_over_samples,0.0,9.0,18
0,0,10,west,video_4.mp4,10,11,1,3,1,16,max_over_samples,0.0,9.0,41
1,10,20,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,10.0,19.0,19
1,10,20,east,video_2.mp4,10,15,2,2,0,19,max_over_samples,10.0,19.0,44
1,10,20,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,10.0,19.0,22
1,10,20,west,video_4.mp4,10,10,1,2,1,14,max_over_samples,0.466,15.0,35
2,20,30,north,video_1.mp4,10,3,0,0,0,3,max_over_samples,0.043,23.0,15
2,20,30,east,video_2.mp4,10,18,2,1,0,21,max_over_samples,20.0,29.0,49
2,20,30,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,20.0,29.0,22
2,20,30,west,video_4.mp4,10,11,1,1,0,13,max_over_samples,4.466,13.466,34
3,30,40,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,6.043,15.043,19
3,30,40,east,video_2.mp4,10,16,1,2,0,19,max_over_samples,0.169,30.0,44
3,30,40,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,30.0,39.0,16
3,30,40,west,video_4.mp4,9,11,1,3,1,16,max_over_samples,0.933,14.466,41
4,40,50,north,video_1.mp4,10,4,1,1,0,6,max_over_samples,0.085,23.043,22
4,40,50,east,video_2.mp4,10,18,1,3,0,22,max_over_samples,9.169,18.169,47
4,40,50,south,video_3.mp4,10,4,0,1,0,5,max_over_samples,40.0,49.0,19
4,40,50,west,video_4.mp4,10,12,1,1,0,14,max_over_samples,0.399,14.933,32
5,50,60,north,video_1.mp4,10,2,0,2,0,4,max_over_samples,2.085,11.085,21
5,50,60,east,video_2.mp4,10,14,1,2,0,17,max_over_samples,19.169,28.169,45
5,50,60,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,50.0,59.0,17
5,50,60,west,video_4.mp4,10,11,1,1,1,14,max_over_samples,3.399,12.399,37
6,60,70,north,video_1.mp4,10,4,1,0,0,5,max_over_samples,12.085,21.085,19
6,60,70,east,video_2.mp4,10,16,1,2,0,19,max_over_samples,0.338,30.169,42
6,60,70,south,video_3.mp4,10,4,1,0,0,5,max_over_samples,60.0,69.0,19
6,60,70,west,video_4.mp4,10,11,1,3,1,16,max_over_samples,0.866,15.399,40
7,70,80,north,video_1.mp4,10,3,1,0,0,4,max_over_samples,0.128,23.085,19
7,70,80,east,video_2.mp4,10,13,1,4,0,18,max_over_samples,8.338,17.338,51
7,70,80,south,video_3.mp4,10,3,0,0,0,3,max_over_samples,70.0,79.0,15
7,70,80,west,video_4.mp4,10,11,1,1,0,13,max_over_samples,0.332,14.866,35
8,80,90,north,video_1.mp4,10,4,0,2,0,6,max_over_samples,8.128,17.128,23
8,80,90,east,video_2.mp4,10,15,1,1,0,17,max_over_samples,18.338,27.338,40
