slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,3,0,1,0,4,max_over_samples,0.0,9.0,18
0,0,10,east,video_2.mp4,10,16,1,1,0,18,max_over_samples,0.0,9.0,39
0,0,10,south,video_3.mp4,10,3,1,0,0,4,max_over_samples,0.0,9.0,18
0,0,10,west,video_4.mp4,10,12,1,4,1,18,max_over_samples,0.0,9.0,45
1,10,20,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,10.0,19.0,19
1,10,20,east,video_2.mp4,10,13,2,2,0,17,max_over_samples,10.0,19.0,42
1,10,20,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,10.0,19.0,23
1,10,20,west,video_4.mp4,10,10,1,2,1,14,max_over_samples,0.466,15.0,36
2,20,30,north,video_1.mp4,10,3,0,0,0,3,max_over_samples,0.043,23.0,15
2,20,30,east,video_2.mp4,10,16,1,1,0,18,max_over_samples,20.0,29.0,44
2,20,30,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,20.0,29.0,25
2,20,30,west,video_4.mp4,10,11,1,1,0,13,max_over_samples,4.466,13.466,36
3,30,40,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,6.043,15.043,19
3,30,40,east,video_2.mp4,10,15,1,2,0,18,max_over_samples,0.169,30.0,42
3,30,40,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,30.0,39.0,16
3,30,40,west,video_4.mp4,9,12,1,3,1,17,max_over_samples,0.933,14.466,43
4,40,50,north,video_1.mp4,10,4,1,1,0,6,max_over_samples,0.085,23.043,22
4,40,50,east,video_2.mp4,10,17,1,3,0,21,max_over_samples,9.169,18.169,47
4,40,50,south,video_3.mp4,10,4,0,1,0,5,max_over_samples,40.0,49.0,19
4,40,50,west,video_4.mp4,10,11,1,1,0,13,max_over_samples,0.399,14.933,32
5,50,60,north,video_1.mp4,10,2,0,2,0,4,max_over_samples,2.085,11.085,21
5,50,60,east,video_2.mp4,10,13,1,2,0,16,max_over_samples,19.169,28.169,44
5,50,60,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,50.0,59.0,17
5,50,60,west,video_4.mp4,10,11,1,1,1,14,max_over_samples,3.399,12.399,38
6,60,70,north,video_1.mp4,10,4,1,0,0,5,max_over_samples,12.085,21.085,19
6,60,70,east,video_2.mp4,10,15,0,2,0,17,max_over_samples,0.338,30.169,38
