slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,0.0,9.0,22
0,0,10,east,video_2.mp4,10,13,1,1,0,15,max_over_samples,0.0,9.0,43
0,0,10,south,video_3.mp4,10,3,1,0,0,4,max_over_samples,0.0,9.0,20
0,0,10,west,video_4.mp4,10,8,1,1,1,11,max_over_samples,0.0,9.0,35
1,10,20,north,video_1.mp4,10,7,0,1,0,8,max_over_samples,10.0,19.0,27
1,10,20,east,video_2.mp4,10,11,2,1,0,14,max_over_samples,10.0,19.0,43
1,10,20,south,video_3.mp4,10,2,1,1,0,4,max_over_samples,10.0,19.0,23
1,10,20,west,video_4.mp4,10,6,1,0,1,8,max_over_samples,0.466,15.0,27
2,20,30,north,video_1.mp4,10,6,1,0,0,7,max_over_samples,0.043,23.0,25
2,20,30,east,video_2.mp4,10,11,2,1,0,14,max_over_samples,20.0,29.0,43
2,20,30,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,20.0,29.0,25
2,20,30,west,video_4.mp4,10,7,1,0,0,8,max_over_samples,4.466,13.466,27
3,30,40,north,video_1.mp4,10,6,0,1,0,7,max_over_samples,6.043,15.043,26
3,30,40,east,video_2.mp4,10,12,1,1,0,14,max_over_samples,0.169,30.0,42
3,30,40,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,30.0,39.0,18
3,30,40,west,video_4.mp4,9,7,1,1,1,10,max_over_samples,0.933,14.466,34
4,40,50,north,video_1.mp4,10,6,1,1,0,8,max_over_samples,0.085,23.043,30
4,40,50,east,video_2.mp4,10,11,2,1,0,14,max_over_samples,9.169,18.169,43
4,40,50,south,video_3.mp4,10,3,0,1,0,4,max_over_samples,40.0,49.0,20
4,40,50,west,video_4.mp4,10,7,1,0,0,8,max_over_samples,0.399,14.933,27
5,50,60,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,2.085,11.085,27
5,50,60,east,video_2.mp4,10,13,0,1,0,14,max_over_samples,19.169,28.169,44
5,50,60,south,video_3.mp4,10,3,0,0,0,3,max_over_samples,50.0,59.0,17
5,50,60,west,video_4.mp4,10,7,1,0,1,9,max_over_samples,3.399,12.399,32
6,60,70,north,video_1.mp4,10,6,1,1,0,8,max_over_samples,12.085,21.085,27
6,60,70,east,video_2.mp4,10,12,1,2,0,15,max_over_samples,0.338,30.169,40
6,60,70,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,60.0,69.0,23
6,60,70,west,video_4.mp4,10,7,1,1,1,10,max_over_samples,0.866,15.399,30
7,70,80,north,video_1.mp4,10,6,1,1,0,8,max_over_samples,0.128,23.085,28
7,70,80,east,video_2.mp4,10,12,1,3,0,16,max_over_samples,8.338,17.338,47
7,70,80,south,video_3.mp4,10,3,0,0,0,3,max_over_samples,70.0,79.0,15
7,70,80,west,video_4.mp4,10,7,1,1,0,9,max_over_samples,0.332,14.866,30
8,80,90,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,8.128,17.128,24
8,80,90,east,video_2.mp4,10,12,1,1,0,14,max_over_samples,18.338,27.338,43
8,80,90,south,video_3.mp4,10,4,0,1,0,5,max_over_samples,80.0,89.0,23
8,80,90,west,video_4.mp4,10,7,1,0,1,9,max_over_samples,2.332,11.332,30
9,90,100,north,video_1.mp4,10,7,1,1,0,9,max_over_samples,0.171,23.128,29
9,90,100,east,video_2.mp4,10,10,1,1,0,12,max_over_samples,0.508,30.338,34
9,90,100,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,90.0,99.0,17
9,90,100,west,video_4.mp4,10,8,2,2,1,13,max_over_samples,0.799,15.332,40
10,100,110,north,video_1.mp4,10,4,0,1,0,5,max_over_samples,4.171,13.171,23
10,100,110,east,video_2.mp4,10,11,2,1,0,14,max_over_samples,7.508,16.508,46
10,100,110,south,video_3.mp4,10,2,1,0,0,3,max_over_samples,100.0,109.0,19
10,100,110,west,video_4.mp4,10,6,1,1,0,8,max_over_samples,0.265,14.799,32
11,110,120,north,video_1.mp4,10,7,0,0,0,7,max_over_samples,14.171,23.171,22
11,110,120,east,video_2.mp4,10,12,1,1,0,14,max_over_samples,17.508,26.508,40
11,110,120,south,video_3.mp4,10,5,1,1,0,7,max_over_samples,110.0,119.0,27
11,110,120,west,video_4.mp4,10,7,1,1,0,9,max_over_samples,1.265,10.265,31
12,120,130,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,0.214,9.214,24
12,120,130,east,video_2.mp4,10,12,1,1,0,14,max_over_samples,0.677,30.508,42
12,120,130,south,video_3.mp4,10,3,1,0,0,4,max_over_samples,120.0,129.0,20
12,120,130,west,video_4.mp4,10,7,1,1,1,10,max_over_samples,0.732,15.265,34
13,130,140,north,video_1.mp4,10,6,1,1,0,8,max_over_samples,10.214,19.214,28
13,130,140,east,video_2.mp4,10,10,2,2,0,14,max_over_samples,6.677,15.677,43
13,130,140,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,130.0,139.0,25
13,130,140,west,video_4.mp4,10,6,1,0,0,7,max_over_samples,5.732,14.732,24
14,140,150,north,video_1.mp4,10,6,0,0,0,6,max_over_samples,0.256,23.214,20
14,140,150,east,video_2.mp4,10,10,2,1,0,13,max_over_samples,16.677,25.677,39
14,140,150,south,video_3.mp4,10,2,1,1,0,4,max_over_samples,140.0,149.0,21
14,140,150,west,video_4.mp4,10,6,2,3,0,11,max_over_samples,0.198,9.198,40
15,150,160,north,video_1.mp4,10,6,0,2,0,8,max_over_samples,6.256,15.256,27
15,150,160,east,video_2.mp4,10,10,2,1,0,13,max_over_samples,0.846,30.677,38
15,150,160,south,video_3.mp4,10,2,1,2,0,5,max_over_samples,150.0,159.0,25
15,150,160,west,video_4.mp4,10,7,1,1,1,10,max_over_samples,0.665,15.198,30
16,160,170,north,video_1.mp4,10,6,0,0,0,6,max_over_samples,0.299,23.256,23
16,160,170,east,video_2.mp4,10,12,1,2,0,15,max_over_samples,5.846,14.846,52
16,160,170,south,video_3.mp4,10,2,0,0,0,2,max_over_samples,160.0,169.0,14
16,160,170,west,video_4.mp4,10,7,1,0,0,8,max_over_samples,4.665,13.665,31
17,170,180,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,2.299,11.299,24
17,170,180,east,video_2.mp4,10,11,1,1,0,13,max_over_samples,15.846,24.846,39
17,170,180,south,video_3.mp4,10,3,0,1,0,4,max_over_samples,170.0,179.0,20
17,170,180,west,video_4.mp4,10,7,1,2,1,11,max_over_samples,0.131,14.665,37
18,180,190,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,12.299,21.299,25
18,180,190,east,video_2.mp4,10,13,1,1,0,15,max_over_samples,0.015,29.846,39
18,180,190,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,180.0,189.0,25
18,180,190,west,video_4.mp4,10,8,1,1,0,10,max_over_samples,0.597,15.131,31
19,190,200,north,video_1.mp4,10,5,0,0,0,5,max_over_samples,0.342,23.299,19
19,190,200,east,video_2.mp4,10,13,1,2,0,16,max_over_samples,5.015,14.015,48
19,190,200,south,video_3.mp4,10,3,0,1,0,4,max_over_samples,190.0,199.0,20
19,190,200,west,video_4.mp4,10,7,1,1,0,9,max_over_samples,3.597,12.597,33
20,200,210,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,8.342,17.342,22
20,200,210,east,video_2.mp4,10,11,2,1,0,14,max_over_samples,15.015,24.015,39
20,200,210,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,200.0,209.0,23
20,200,210,west,video_4.mp4,10,8,1,2,1,12,max_over_samples,0.064,14.597,36
21,210,220,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,0.385,23.342,28
21,210,220,east,video_2.mp4,10,11,1,1,0,13,max_over_samples,0.184,30.015,40
21,210,220,south,video_3.mp4,10,2,0,1,0,3,max_over_samples,210.0,219.0,19
21,210,220,west,video_4.mp4,10,7,1,1,0,9,max_over_samples,0.53,15.064,33
22,220,230,north,video_1.mp4,10,5,0,1,0,6,max_over_samples,4.385,13.385,23
22,220,230,east,video_2.mp4,10,14,1,1,0,16,max_over_samples,4.184,13.184,43
22,220,230,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,220.0,229.0,24
22,220,230,west,video_4.mp4,10,7,1,1,0,9,max_over_samples,2.53,11.53,30
23,230,240,north,video_1.mp4,10,6,1,0,0,7,max_over_samples,14.385,23.385,24
23,230,240,east,video_2.mp4,10,13,1,1,0,15,max_over_samples,14.184,23.184,40
23,230,240,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,230.0,239.0,23
23,230,240,west,video_4.mp4,9,8,1,1,1,11,max_over_samples,0.997,14.53,33
