slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,6,0,1,0,7,max_over_samples,0.0,9.0,22
0,0,10,east,video_2.mp4,10,18,1,1,0,20,max_over_samples,0.0,9.0,44
0,0,10,south,video_3.mp4,10,4,1,1,0,6,max_over_samples,0.0,9.0,23
0,0,10,west,video_4.mp4,10,9,1,1,1,12,max_over_samples,0.0,9.0,31
1,10,20,north,video_1.mp4,10,9,0,1,0,10,max_over_samples,10.0,19.0,26
1,10,20,east,video_2.mp4,10,12,2,2,0,16,max_over_samples,10.0,19.0,40
1,10,20,south,video_3.mp4,10,4,2,1,0,7,max_over_samples,10.0,19.0,26
1,10,20,west,video_4.mp4,10,7,1,1,1,10,max_over_samples,0.466,15.0,28
2,20,30,north,video_1.mp4,10,7,1,0,0,8,max_over_samples,0.043,23.0,24
2,20,30,east,video_2.mp4,10,14,2,1,0,17,max_over_samples,20.0,29.0,42
2,20,30,south,video_3.mp4,10,5,1,1,0,7,max_over_samples,20.0,29.0,25
2,20,30,west,video_4.mp4,10,8,1,1,0,10,max_over_samples,4.466,13.466,29
3,30,40,north,video_1.mp4,10,9,0,1,0,10,max_over_samples,6.043,15.043,27
3,30,40,east,video_2.mp4,10,14,2,2,0,18,max_over_samples,0.169,30.0,45
3,30,40,south,video_3.mp4,10,6,0,0,0,6,max_over_samples,30.0,39.0,19
3,30,40,west,video_4.mp4,9,7,1,1,1,10,max_over_samples,0.933,14.466,29
4,40,50,north,video_1.mp4,10,7,1,1,0,9,max_over_samples,0.085,23.043,27
4,40,50,east,video_2.mp4,10,15,2,2,0,19,max_over_samples,9.169,18.169,45
4,40,50,south,video_3.mp4,10,5,0,1,0,6,max_over_samples,40.0,49.0,20
4,40,50,west,video_4.mp4,10,8,1,1,0,10,max_over_samples,0.399,14.933,28
5,50,60,north,video_1.mp4,10,6,0,1,0,7,max_over_samples,2.085,11.085,25
5,50,60,east,video_2.mp4,10,15,1,1,0,17,max_over_samples,19.169,28.169,44
5,50,60,south,video_3.mp4,10,6,0,0,0,6,max_over_samples,50.0,59.0,20
5,50,60,west,video_4.mp4,10,9,1,0,1,11,max_over_samples,3.399,12.399,31
6,60,70,north,video_1.mp4,10,8,1,1,0,10,max_over_samples,12.085,21.085,26
