slot_index,slot_start_sec,slot_end_sec,road,video,frames_sampled,car,bus,truck,motorcycle,total,aggregation_method,video_time_start,video_time_end,green_sec
0,0,10,north,video_1.mp4,10,2,0,0,0,2,max_over_samples,0.0,9.0,13
0,0,10,east,video_2.mp4,10,16,1,1,0,18,max_over_samples,0.0,9.0,38
0,0,10,south,video_3.mp4,10,3,1,1,0,5,max_over_samples,0.0,9.0,21
0,0,10,west,video_4.mp4,10,12,2,4,1,19,max_over_samples,0.0,9.0,48
1,10,20,north,video_1.mp4,10,3,0,1,0,4,max_over_samples,10.0,19.0,17
1,10,20,east,video_2.mp4,10,12,2,2,0,16,max_over_samples,10.0,19.0,37
1,10,20,south,video_3.mp4,10,4,2,1,0,7,max_over_samples,10.0,19.0,24
1,10,20,west,video_4.mp4,10,13,3,2,1,19,max_over_samples,0.466,15.0,42
2,20,30,north,video_1.mp4,10,2,0,0,0,2,max_over_samples,0.043,23.0,13
2,20,30,east,video_2.mp4,10,15,1,1,0,17,max_over_samples,20.0,29.0,43
2,20,30,south,video_3.mp4,10,5,1,1,0,7,max_over_samples,20.0,29.0,26
2,20,30,west,video_4.mp4,10,12,1,1,0,14,max_over_samples,4.466,13.466,38
3,30,40,north,video_1.mp4,10,2,0,0,0,2,max_over_samples,6.043,15.043,13
3,30,40,east,video_2.mp4,10,15,1,2,0,18,max_over_samples,0.169,30.0,41
3,30,40,south,video_3.mp4,10,5,0,0,0,5,max_over_samples,30.0,39.0,17
3,30,40,west,video_4.mp4,9,12,3,3,1,19,max_over_samples,0.933,14.466,49
4,40,50,north,video_1.mp4,10,3,1,0,0,4,max_over_samples,0.085,23.043,17
4,40,50,east,video_2.mp4,10,17,1,3,0,21,max_over_samples,9.169,18.169,44
4,40,50,south,video_3.mp4,10,6,0,1,0,7,max_over_samples,40.0,49.0,20
4,40,50,west,video_4.mp4,10,13,2,2,0,17,max_over_samples,0.399,14.933,39
5,50,60,north,video_1.mp4,10,1,0,0,0,1,max_over_samples,2.085,11.085,12
5,50,60,east,video_2.mp4,10,13,1,2,0,16,max_over_samples,19.169,28.169,43
5,50,60,south,video_3.mp4,10,5,0,0,0,5,max_over_samples,50.0,59.0,18
5,50,60,west,video_4.mp4,10,12,3,1,1,17,max_over_samples,3.399,12.399,47
6,60,70,north,video_1.mp4,10,3,1,0,0,4,max_over_samples,12.085,21.085,17
6,60,70,east,video_2.mp4,10,15,0,2,0,17,max_over_samples,0.338,30.169,36
6,60,70,south,video_3.mp4,10,6,1,1,0,8,max_over_samples,60.0,69.0,25
6,60,70,west,video_4.mp4,10,11,2,3,1,17,max_over_samples,0.866,15.399,42
7,70,80,north,video_1.mp4,10,2,1,0,0,3,max_over_samples,0.128,23.085,17
7,70,80,east,video_2.mp4,10,13,1,4,0,18,max_over_samples,8.338,17.338,47
7,70,80,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,70.0,79.0,16
7,70,80,west,video_4.mp4,10,13,2,1,0,16,max_over_samples,0.332,14.866,40
8,80,90,north,video_1.mp4,10,3,0,0,0,3,max_over_samples,8.128,17.128,14
8,80,90,east,video_2.mp4,10,13,1,1,0,15,max_over_samples,18.338,27.338,37
8,80,90,south,video_3.mp4,10,6,0,1,0,7,max_over_samples,80.0,89.0,23
8,80,90,west,video_4.mp4,10,13,3,1,1,18,max_over_samples,2.332,11.332,46
9,90,100,north,video_1.mp4,10,2,0,1,0,3,max_over_samples,0.171,23.128,17
9,90,100,east,video_2.mp4,10,13,0,1,0,14,max_over_samples,0.508,30.338,35
9,90,100,south,video_3.mp4,10,4,0,0,0,4,max_over_samples,90.0,99.0,17
9,90,100,west,video_4.mp4,10,12,2,3,1,18,max_over_samples,0.799,15.332,51
10,100,110,north,video_1.mp4,10,2,0,0,0,2,max_over_samples,4.171,13.171,12
10,100,110,east,video_2.mp4,10,15,1,5,0,21,max_over_samples,7.508,16.508,49
10,100,110,south,video_3.mp4,10,2,1,1,0,4,max_over_samples,100.0,109.0,19
